Channel,Fresh_clean,Milk_clean,Grocery_clean,Frozen_clean,Detergents_Paper_clean,Delicassen_clean
2,58.00142389065574,14.07425969189468,18.698868889239446,7.522765445771244,10.441302391750638,21.088988078877403
2,47.778956485718844,14.109579527485124,19.606780224398623,12.076965527359556,10.799759191938046,22.990080101024624
2,46.13278656813182,13.870040440595178,18.76008853337508,12.851568965217664,10.91361339800307,35.607136570188786
1,58.88650262963994,9.815965099141463,16.58331798976104,15.487002768453285,7.753624798362338,23.037008386621824
2,70.14336975840587,12.814151607666064,18.513120299908923,14.124214099057967,9.752384613170156,31.589555169718363
2,52.57842609599317,13.728030710748465,17.267960368682928,9.832364585508845,9.76914630907048,21.61908356554468
2,57.16976578320681,11.725231834166603,18.395019301765494,9.133645122770657,10.717409247781283,15.905440569344659
2,48.927957108140845,12.629001352192313,19.548162674501825,11.94487581812675,10.814442589001938,25.67851442503903
1,45.16621269091045,11.992765417226076,17.95315256197828,8.880901159716977,9.694379706188833,17.61153769121845
2,45.27487803164515,14.385615838675958,22.414428622214466,11.078461431265081,12.249011816073676,24.17565061942363
2,37.255117164866974,12.811406292130592,20.829489876909577,14.440418929449534,11.854468012464151,22.863779375907697
2,58.71200210550383,9.700896751619164,16.82460134076481,11.556341956266941,7.87546475048905,15.438518257310308
2,78.31317867180667,14.623395655576534,20.427909267196917,8.090143744175286,11.086191815199687,26.71503536897642
2,68.69610772865751,13.107670437485249,21.426891133310736,13.501108690256096,12.06332136120403,16.421891776324436
2,72.14680670292965,14.029732730590004,20.54151731909555,8.13761727941505,11.554770425904508,24.415282257124108
1,54.087640062850916,9.684386048828213,16.240035900828783,8.740957227025715,8.756419499055655,14.522370158579143
2,24.66257465432057,13.872049428235073,20.551590446575318,6.6580185823229785,11.350087222541495,19.740884650773932
1,44.94469580064309,13.089972940559228,15.352466356378622,10.341734954695735,7.277793157039436,30.267203900416362
2,65.80116629496008,13.148454097243356,19.81961595420062,12.632485265177278,10.499810033120916,27.370965011810405
1,49.35586761406308,11.227283233529894,19.563922296561046,9.842144809962107,10.338761804719589,15.478673677304782
2,64.55421275179276,12.435539503443787,16.88545129302976,10.885000229388792,10.154659846265595,24.265338278919632
1,44.13919990016518,9.23479401942391,14.143573406323336,13.73494232231557,7.297862105630296,16.12755066963171
1,77.95988411460768,10.71101539091943,16.78248526616708,16.60942742724056,10.243703646441443,29.97915413380176
2,73.75075935979379,17.214489392527305,23.089951019745826,14.875757471190884,11.281687660418033,36.15800200928388
2,70.17576763976014,14.101825386461028,21.081748767413153,13.34503473222024,11.339844843809608,32.59916817983515
2,62.84144668756751,12.29798519542137,18.71587563771419,7.40417361299391,11.140511495867768,7.147115940250003
1,53.460598163637776,9.413296272466443,15.270844681110624,13.548035433853697,6.652372065785989,18.203958602803382
1,60.327291297035195,9.088388162400701,15.476107014756419,9.155337259747817,5.406953706355992,15.646731799860344
2,39.868585093695934,15.80825712239013,23.83023202817524,11.07645507008245,12.520382226963232,31.626732890904094
1,86.50165384946672,10.888290797122396,14.970678734067713,11.159438118981884,8.97806014091476,18.134966783072652
1,66.04813267227101,11.97132309300628,20.198708612676864,11.056307114243072,10.058650809870018,26.801252983385172
1,34.17424242574801,12.350844837431662,15.570567234783045,12.496067720685115,8.499800581124275,19.184060506206464
1,69.13240703332826,9.997237510846114,15.299381609253418,7.941339687105272,8.67856865265984,14.440870582807134
